# Name,Title,Complexity rating,Ability name,Charges,Type,Code,Ability,Special text,Starting Breach Positions,Hand,Deck,Special I,Special II,Special III,Special IV,Flavour,Box
,,,,,,,,,,,,,,,,,
Talix (NA),The Chain,6,Soaring Ash,5,M,,"Destroy two sparks in hand. If you do, shuffle your turn order card into the turn order deck.#OR#Gravehold gains 5 life.",,"0,2,3,3","3b8,S,S,S,S","S,S,S,S,3b9",,,,,"It was kind of lonely growing up in Southpost. There weren't many kids my age to play with so I made my own fun by exploring the wilds. It was against the rules to go out alone, but that was what made it so fun. As the top dog of Southpost, my mom had more important things to do than keep a super close eye on me. So I spent a lot of time at home. Studying. Right next to a conveniently unlocked window. I knew it was stupid to wander around alone, but I was a kid. Kids are stupid. And I was still an idiot well into my adulthood. I never saw the point of growing up until I had a kid of my own. I found him, Inco, in some ancient ruins, curled up for warmth and half buried in vines that I later learned were part of him. I'm still amazed by how much power he holds in that tiny body of his. I suppose he'd have to be strong, growing up out in the wilds. It's crazy, I was the first other human he ever met in his whole life. It took a while to get him to trust me, but finally I convinced him to come back to Southpost with me. After a few months we moved to New Gravehold together so Inco could be around kids his own age. I know what it's like to feel alone, isolated from your people. As long as I'm here, Inco will never feel that way.",The New Age
Lost (NA),Living Forge,5,Meek's Might,5,M,,Return up to four cards that cost 0$ in your discard pile to your hand.,"Set aside all of the Forged Crystal and Forged Spark cards. These form the Forged deck. Cards in this deck can only be gained using Lost's Heart Forge. Forged Sparks and Forged Crystals count as Sparks and Crystals, respectively.","0,2,4,4","C,C,END2,S,S","C,C,C,S,S",,,,,"""After we defeated that massive wolf-like Nameless, we found this suit of armor hiding below ground. Lost managed to remember that he was a mage of Gravehold, but we don't know which mage, nor how he found himself bound to this suit of armor. During The Fall, the tunnels collapsed, which sealed off outposts and scouting parties. We never learned the fate of many breach mages during that time. Already some people treat Lost like a ghost returned from our unhappy past. Some, myself included, can't help but see him as a sign that all our missing friends might still be out there. I know it's foolish to get caught up in baseless hopes, but I still want to believe we could find just one more mage. After all, who knows how long Lost has been down there, waiting patiently for someone to come. Not knowing who he is, forging weapons he didn't know how to use. But I am hopeful. Each day, Lost's connection to us all grows stronger. Perhaps we may one day be able to reunite him with loved ones."" - Soskel",The New Age
Mazra (NA),The Reader,6,Research,4,M,,"Destroy a card with ""Mazra"" in its name in your hand. Gain a card with ""Mazra"" in its name from the personal upgrade deck that costs 3$ more than the destroyed card and place that card into your hand.#OR#Return to your hand all cards with ""Mazra"" in their name in your discard pile.","Set aside all cards with ""Mazra's"" in their name that cost more than 0$. These form Mazra's personal upgrade deck. Cards in this deck can only be gained using Mazra's Research ability.","0,4,3,4","C,C,C,C,1","C,C,C,C,2",,,Research Breach,,"""She'll probably deny it if you ask her, but I think Mazra might love books more than she loves me. She was born like two hours after me and she must have spent the entirety of that time in the womb growing her crazy huge brain. I'm no idiot, but Mazra was six when she gave Brama a ten-page petition to gain access to the Gravehold archives room. At just eight years old, she translated an ancient tome of breach magic and memorized spells no one had ever heard of. She was ten when she passed her ordeal and became the youngest breach mage ever. When I asked for toys she asked for textbooks. She used to follow Brama around and sneak into council meetings the way normal kids sneak out of school. We were only five years old when Mazra told me she was gonna be the next head of the council of elders. If it was any other kid I'd call them ridiculous, but if there's anyone who I trust to run Gravehold, it's my freak of a little sister."" - Razra",The Ancients
Qu (NA),Builder and Destroyer,8,Duality Embrace,5,M,,"If you are in Destroyer form, cast up to two different spells prepped by any number of players, and then flip over the Form token. Otherwise, any player preps up to two spells in their discard pile to their opened breaches, and then flip over the Form token.","Place the Form token on top of the mat with the Destroyer side faceup. All of the gems played and spells cast by Qu are affected by the faceup side of the Form token. The Form token can be flipped by using Qu's Duality Embrace ability or Change Form relic.#While in Destroyer Form, when you play a gem, gain 1 less $, to a minimum of 0. Spells you cast deal 1 additional damage.#While in Builder Form, when you play a gem, gain 1 additional $. Spells you cast deal 1 less damage, to a minimum of 0.","0,3,4,3","C,C,11,S,S","S,S,12,C,C",,,,,"Even though he was my father, I never really knew Xaxos. Not like some of his old friends here in Gravehold. Growing up, I could tell I was looking at the shell of a man. I was seeing someone desperately trying to piece himself back together, to regain something lost, to return to the man he was before. I never met the man my father was. The Void changes people. I should know, I lived my whole life there. I wonder, now, if the Nameless fight and kill because the very essence of their world drives them to it. Bloodlust permeates the air, twisting their minds. Or perhaps it is the emptiness, the barren nothing they are born into forces them into action. Growing up here, I understand what drives them towards the portals. The first time I saw a breach open I dropped everything. I didn't stop to think about my father, his research, our home, or my things. Everything paled in comparison to the potential to escape. I doubt he will ever even notice I am gone. Time is warped, it passes differently inside the Void. I don't know how old I am, or how long I have been gone, or where my place is in this strange world. But I know New Gravehold is beautiful. Humans are beautiful. Perhaps it is because of my humanity that I can control the Void energy that has consumed me my entire life. I've embraced my rage, channeled my hurt, and funneled my passion outward into strength. I will not let the Nameless have this world too, not when I have only just found it.",The Ancients
Nook (NA),Orb Caller,9,Condense Aether,5,M,,You may destroy a card in your hand or discard pile. Gain 4$. You may place the next spell you gain this turn into your hand.,,"9,9,3,9","C,C,C,C,1","C,C,C,C,2",,,,,"Give me a second to clear my thoughts. It gets harder and harder to tell this story in the proper order. Finally, when I ran out of breaches, the portal began pulling at me, pulling at my very mind. I wanted to see the other side. The more we could learn about the Void, I was sure, the better we could defend ourselves. After that, Indira trapped my little Void in a magical containment sphere. I thought I could create a simulation, a miniaturized Void breach, the kind the Nameless came through. The worst of them all was that the portal required energy, too much energy. I used to have a mind unparalleled in all of New Gravehold. Indira kept me together, afterwards. I opened breach after breach and the Void kept sucking them in, devouring their energy. If we could manufacture a Void portal, I believed I could peer through safely. At least I can use the sphere, now. I was a scientist. I would have died if Indira hadn't come in and stopped it. But it's not what I was before. I like to think I still am one, despite everything that I lost. To this day I do not know if I succeeded. I awoke without familiar breach magic, without many of my memories, without my mind. Initially, my research encountered many issues. Indira understands what it's like to have all of your energy concentrated in one place. More energy than I could muster. Time was scattered, messy, hard to grasp. I'll never be that again. Give me a second to clear my thoughts. It gets harder and harder to tell this story in the proper order.",Shattered Dreams
Inco (NA),Child of Green,4,Massive Growth,5,M,,Cast any number of Rose Thorns prepped by any number of players. Those spells deal 2 additional damage.,"Set aside all of the Rose Thorn cards. Those cards form the Rose Thorn deck. This is not a supply pile. Cards in this deck can be gained using Inco's Verdant Emerald. Additionally, Inco may spend 2$ to gain a card from this deck.","0,3,3,3","C,C,C,4,S","C,C,C,C,5",,,,,"The elders of Gravehold don't know what I am. I understand. For a long time I didn't know what I was either. My roots were planted deep in the wilds, nurtured by strange creatures with emerald eyes and thorny faces. I never considered it odd that my leaves were pinkish flesh instead of sturdy horns and hooves. I never thought about how I control the vines that interlace my body, or where they grew from. It was many years before my branches longed to stretch towards new suns, before my world of green and growth grew tiresome and repetitive. All trees need room to grow, but unlike most plants, I was not rooted. I was free to move and wander. For days I drifted, a lone leaf on the wind, seeking solace from tormenting storms. I took shelter in strange ruins and woke up face to face with a fleshy creature that looked just like me. It took many dawns for us to learn to communicate. Eventually I discovered he was something called a human named Talix. He took me home with him to Gravehold and treated me like his own child. There are so many of these humans, like twisting roses, all different hues, each more strange and beautiful than the last, but one here outshines them all. I lean always toward my radiant new sun, Razra. She and Talix and this forest of stone are strange beyond comprehension. I am still a stranger here. But I'm not afraid, because these are my people. As my new father told me: ""You're human, Inco. You're home.""",Into the Wild
Razra (NA),The Trainer,7,Train Rip,4,M,,"Destroy a card with ""Rip"" in its name in your hand. Gain a card with ""Rip"" in its name from the personal upgrade deck that costs 3$ more than the destroyed card and place that card into your hand.#OR#Return to your hand all cards with ""Rip"" in their name you have played this turn or are in your discard pile.","Set aside all card with ""Rip"" in their name that cost more than 0$. These form Razra's personal upgrade deck. Cards in this deck can only be gained using Razra's Train Rip ability.","0,3,4,4","C,C,C,32,S","C,C,C,33,S",,,,,"""Razra and I may be identical but we couldn't be more different. She's always taken the fact that we live in a jungle full of deadly monsters as more of a challenge than something to fear. She was the sort of child who would break her leg jumping off the roof, and before it even healed, jump off again because now she's sure she's perfected the landing. I think these days the dirt might be so deeply ingrained in her skin that it won't ever come off. It's no wonder she's so close with that strange forest boy, Inco. I'll admit, I worried about her for a long time. We had both always wanted to become breach mages. While it came naturally to me, Razra struggled. She wouldn't focus on a book, couldn't sit through a lesson. Then, as if it was sent for her, that strange creature wandered close to the city. No normal person would even care, but my sister has never been normal. She threw herself into befriending this creature, named it Rip, and trained it beyond what anyone had assumed possible. It was miraculous. With Rip by her side Razra grew quickly in strength, racing through her training at unprecedented speeds. Finally, she joined me as a full fledged breach mage. I was starting to get bored waiting for her to catch up."" - Mazra",Into the Wild
,,,,,,,,,,,,,,,,,
Ilya (O),Right Hand,4,Life Embrace,5,M,,Cast all of your prepped spells without discarding them. Any ally returns a card in their discard pile to their hand.,,"0,2,3,3","C,1b4,S,S,1b5","C,1b9,S,S,1b11",,,,,"""How should one talk about Ilya? The most beautiful things defy description. She is like the warm, sure knowledge that the sun will rise tomorrow. Hope, eternal, even in this world that gladly kill us all. Ilya and I were paired together when we were kids, picked to be Tethers. I still remember the day we received our tattoos. We were holding hands and she looked me in the eyes, smiled so brightly, and asked if I could feel the magic. She said she had never felt so connected to the world and its aether. That she could feel it all flowing through her. I'd always thought of magic as something to fight with. A way to defend the village, to push back the Portalborn, to keep everyone safe. but in that moment, in her eyes, I saw what Ilya saw. Beautiful, magical currents of life coursing through us all. Connecting us to the plants and the animals and the stones and the water. Connecting us to each other. Whenever we hold hands now, I think of it again. The connection Ilya sees everywhere she looks. There is no one I would rather spend my life with."" - Kel",Outcasts
Kel (O),Left Hand,4,Soul Invigoration,6,M,,Return up to two gems or relics you played this turn to your hand. Any ally draws a card and may prep a spell in hand to an opened or closed breach.,,"0,4,4,4","C,C,1b14,S,1b15","C,C,1b19,S,1b21",,,,,"""Kel likes to think she's tough, but I know her a little better than that. Beneath that sour exterior is a soft and loving core. She cares more about Azer than any of us. She'd give her life without hesitation to defend every single villager, and I'm glad I get to be at her side making sure she doesn't have to. We've been fighting together, hand in hand, since we were little kids. I still remember the day we got our tattoos done. It was one of the best days of my life. She looked right in my eyes and promised she would defend me. That as long as she was at my side we'd go down together or not at all. She squeezed my hand tight and said it was the honor of her life to fight by my side, and I swear I almost burst out laughing at the serious expression on her face. But that's just the kind of person Kel is. She cares. About everything, with every fiber of her being. I'm so lucky that we get to spend our lives together."" - Ilya",Outcasts
Taqren (O),Severed Shield,6,Sustain,5,M,,"If you are not exhausted, gain 3 life. Otherwise, Gravehold gains 3 life.","On the left side of the front of the mat, there is a barrier track:#- Any ally draws a card.#- Focus your closed breach with the lowest focus cost.#- Gain 1 charge.#- Prep a spell in hand to one of your opened or closed breaches.##Place the barrier token on the ""Any ally draws a card."" space of the barrier track.#When Taqren suffers damage, or is exhausted and would suffer damage, move the barrier token to a different space on the barrier track and resolve the listed effect.#While Taqren is exhausted, Gravehold suffers 1 damage per 1 damage Taqren suffers instead of 2.","0,2,3,3","C,C,C,1b25,S","C,C,C,S,S",,,,,"I am optimistic, but that does not make me a fool. As soon as I heard talk of a traitor amongst the council of Elders, I knew it was my mother. She is my mother. I am not so ignorant that I could not tell something was wrong with her. I had hoped it would not be this dire, but that is the way of optimism. It does not always match up to the harsh truths of reality. The traitor mage, they call her. I do not like this term. My mother is misguided, yes. She made costly and dangerous mistakes, but she is not a traitor. She was the one who taught me that New Gravehold is nothing more than its people, and that defending them is the greatest endeavour of my life. She taught me that it is not enough to fight now, in the present, but that one must look forward to the future to ensure the safety of our children. Her ideas are radical, and her methods are flawed, but in many ways she is right. We cannot be content with tradition. We cannot become complacent in our old ways, not when there is a chance to do better. To pass on a safer, kinder world to the next generation. They should not have to live at war, as we have. Not if there's something we can do to stop it.",Outcasts
Z'hana (O),Crimson Rebel,3,Inscribe,5,P,,Gravehold gains 5 life. Place two glyph tokens on top of any card in the supply.,"Set all the glyph tokens next to this mat. When an ally gains a card with a glyph token on it, that ally or Z'hana resolves that token's effect. Then, that token is returned to Z'hana. When Z'hana gains a card with a glyph token on it, place that glyph token on any card in the supply unless you are playing with one mage. When a card with one or more glyph tokens is removed from the supply, return those glyph tokens to Z'hana.","9,4,3,1","C,C,C,C,1b36","C,C,C,1b40,S",,,,,"I won't defend myself. I won't make excuses. The people of New Gravehold can judge me if they wish. My reputation means nothing to me. All I care about is the safety of my people, and the future of humanity. No one loved Gravehold more than me. I spent my life defending it, and I am still defending it. My heart broke for everything we lost in The Fall. Our home, our people, our history. My Soren. Losing him there, raising Taqren without him, it's the hardest thing I've ever had to do. After we founded New Gravehold I cautioned Brama against exiling all of Xaxos's old students. I had just as much cause as any, more cause even, to hate Xaxos for bringing Maelstrom to Gravehold, but his followers had done nothing wrong. Outlawing the very study of the Void is tyranny, and nothing but a recipe for stagnation. If we refuse to learn from the mistakes of our past, we are doomed to repeat them. Brama and her traditions are only holding New Gravehold back. For the sake of future generations, we need to embrace new kinds of magic and move forward.",Outcasts
Qu (O),Destroyer,7,Combust Aether,4,D,,Draw three cards.,,"0,0,4,4","C,C,C,C,2b29","C,C,C,C,S",,,,,"I spent so much of my life desperate to escape the Void, it's odd to find myself returned. My new life in New Gravehold is so beautiful that I am almost afraid to touch it, as if it might shatter like brittle glass. I have people I would consider friends. I have a house that I am trying to consider a home. Taqren tells me it's normal to be nostalgic for a battleground. He says he too has dreams of the fearful weeks he spent running from Gravehold as the caves collapsed, hunted by Nameless with almost no protection. At least then he had purpose, clarity of direction. Now my bed is so comfortable, I don't feel like I belong in it. The people are so carefully kind, they avoid my monstrous half with practiced courtesy, and I know they are not ready. So I was almost relieved to follow my father's call and return to this dreaded place where everything is pain and fear and suffering, but it is at least a familiar pain. I know the shape of this pain, where it inserts itself beneath my ribs and settles. It does not try to hide behind honeyed words. I do not want to stay here, in this dark place. But maybe by the time I have returned, New Gravehold will be ready for me. Maybe I will finally be ready for it.",Outcasts
Thraxir (O),Reanimated,5,Shackles Unleashed,5,M,,"Cast up to three spells prepped by any players. If you have three opened breaches, those spells deal 1 additional damage. If you have four opened breaches, you may cast up to four spells and those spells deal 2 additional damage instead.",,"4,4,4,4","C,C,C,3b27,S","C,C,C,C,S",Forged Breach,Honed Breach,Refined Breach,Serrated Breach,"""It's been hard to get Thraxir's story from him, he recalls details sporadically and much of his human life is buried beneath years and years of bloodshed. It must be traumatic, coming back to yourself after spending so long as a mindless monster. The memory of hurting the people you once cared about... it can be easier to live without. This, at least, I understand intimately. Void essence is powerful, but it can drive you past the point of sanity. I'm ashamed to admit that I was conscious of what I was doing when I turned on my fellow mages and attacked them. It would be easier for me if I could hide in the fog of madness. I thought my cause was righteous enough, my goals pure enough that any action could be excused. Thraxir and I are both too far gone to ever truly belong in New Gravehold again. But perhaps together we can rediscover what it means to be human."" - Xaxos",Outcasts
Dezmodia (O),Void Risen,7,Void Vortex,4,M,,"Any ally draws three cards. Then, place any number of cards in your hand into their hand. Then, that ally places the same number of cards in their hand into your hand.","When Dezmodia is exhausted, she does not discard her Void Breach.","9,9,9,3","C,C,C,C,END56","C,C,C,C,S",,,,Void Breach,"Xaxos tells me they're calling it The Fall. My denouement. The crowning achievement of my life, to die and bring my entire civilization down around me. Impressive, I know. I've always been impressive. The child prodigy. Time is odd in the Void. It's familiar and strange all at once. From the day I was born, I knew what it would feel like to die, and now that I have died it fails to measure up to expectations. I suppose after spending a lifetime with it, even the pain of death can grow familiar. I lived my first life in the in-between of worlds, stuck between ours and the Void like a reflection of the stars caught in a pool. At least now my outsides match my insides. I can feel it humming in my teeth, the frission between universes. Each breach, each portal, they rip and tug at the uneasy balance between these worlds. Even I do not know what will happen when the seams unravel.",Outcasts
Arachnos (O),Redeemed Acolyte,3,Expunge,6,M,,Cast any player's prepped spell. That spell deals 3 additional damage.,,"0,0,3,3","C,C,C,END57,S","C,C,C,C,S",,,,,"The ritual was poorly conceived. There were flaws. Not the least of which was my own personal involvement. Power corrupts, it is often said. It is said less often that the corruption is not merely to the spirit, but also to the mind. Once I started down my path of discovery, I found myself more and more unwilling to stop. I eschewed safety protocols I had always held in the highest regard. I sacrificed my friend Karak to my ambitions, thinking my process ready for human trials. I listened to Karak screaming in the Void as the ritual aged him, melted his flesh, turned him into something grotesque and inhuman. But I would not stop. I hesitate to blame it all on the corrupting nature of Void essence, because that would excuse the greed and ambition that have always been embedded deep in me. I should not be excused. If this odd rebirth is a potential for a second chance, I do not intend to squander it. My mind is clearer than it has been in years. I already lost so much, my home, my friends, even my humanity. I do not intend to lose more.",Outcasts
Cairna,Flame Walker,4,Energize,6,M,,Gain a spell that costs 5$ or less from a supply pile. You may lose two charges to gain any spell from a supply pile instead. You may lose a charge to prep a spell in your discard pile to one of your opened breaches.,"Cairna's ability can be used when she has 3 or more charges. When Cairna uses her ability, she loses 3 charges.","0,1,2,3","C,C,C,C,16","C,C,C,S,S",,,,,"People lost a lot of things when the cave collapsed on Gravehold. For me? It was my legs. I didn't even see the piece of rubble when it came down. I blacked out for a lot of it. Luckily. I assume my family thought I died. I try not to hold it against them. You see your little girl half crushed beneath a building you don't assume she'll bounce back from that. I'm still not entirely sure how I did. I hadn't had any training in breach magic. I hadn't picked out a special rock or learned the sister-words or whatever initiates do. The mages keep it all very wrapped up in their world. Normal people like my family were never informed about these things. All I know is I woke up buried alive, needing a way out, and then the rocks responded to me. I don't question how it happened. I just know it saved my life. I made myself legs out of the stones that I thought would be my tomb, and I walked all on my own. There was no one left in the ruins of Gravehold by then. I've been surviving for years down here alone. It's not the best life, but I'm surviving. I've got my legs. I've got my strength. Let the world come crashing down again: I made it through once, I can do it again.",Return to Gravehold
Ohat and Ulgimor,Double Soul,4,Enrapture,4,M,,Ohat mode: Suffer 2 damage. Any ally draws five cards and discards two cards in hand.#Ulgimor mode: Cast a spell prepped to Ulgimor's IV breach without discarding it.,"Place the Ohat/Ulgimor token on the front of the mat with the Ohat side faceup. When you have 5 or more life, you are in Ohat mode. When you have 4 or less life, you are in Ulgimor mode. Flip the token to the appropriate side when relevant. When you become exhausted, do not resolve any on-exhaust effects. You can gain life when you have 0 life to become un-exhausted.","0,3,3,3","C,C,C,C,17","S,C,C,C,S",,,,Essence Breach,"I've never fancied myself a survivor, but fate had other plans in mind for me. And when I say fate, I mean Ulgimor. Back in the day, before this fragment of the Umbra Titan stitched itself to my shadow, people called me a coward. I even called myself a coward. You can't fault me for being honest about it. I didn't have big plans for my life. Never aspired to be much more than what I was. A simple dirt merchant. I figured getting bound to Ulgimor would be the worst thing that would ever happen to me, but that was before the entire city was destroyed. Now I'm glad he was there, he pulled us both through that, sheltering me from the falling debris and keeping me moving. It's funny, you don't really get to know the horrifying shadow monster attached to your soul until you're stuck underground with it alone for decades. Then it becomes almost comforting. The last vestige of who you once were. But I like who I am now, who we are. Together. We're stronger when we cooperate. Only took being on my own to realize that.",Return to Gravehold
Lucien,Water Weaver,7,Magnetism,5,C,,Open all of your breaches. Prep any number of spells in hand to your opened breaches.,,"0,1,1,1","C,C,C,S,55","C,C,C,C,S",,Channel Breach,Tide Breach,Flood Breach,"A single drop of water will eventually wear away the tallest mountain. It's inevitable. Unstoppable. It's the way of the universe. Every mage in Azer, when they begin their training as a child, is paired with a Tether. One is trained to command large quantities of aether for powerful offensives, and the other is trained to focus that energy, channel it, and keep it until control. Source and sink. My Tether's name was Phy. He used to call me his tide. ""You're boring, Lucien"", he would say. ""But you always get where you're going"". I lost Phy to a Portalborn a few months ago. I wasn't there. I should have been there. What am I without him? All finesse and nothing behind it. A tide with no waves, no force of ocean driving it forward. But there will always be another monster, and someone must rise to meet it. One step after another. As inevitable as the tide.",Southern Village
Reth,Force of Nature,5,Missing Half,5,M,,"Reveal your deck. Place up to two spells with the same name from your deck into your hand, and up to two spells with that same name from your discard pile into your hand. Return your deck in the same order.",,"0,2,3,3","C,C,C,56,S","C,C,C,S,S",,,Unbound Breach,,"Every mage in Azer has a Tether, right? That super special partner who they fight with and protect more than anyone else? The center of their universe? How special for them. I don't need that. Never have, never will, and I'm sick of everyone treating me like I'm fragile and damage just because I'm on my own. I liked being on my own. I'm strong like this. Who needs to channel aether when you can simply tear open a conduit and let the power overwhelm you? The teachers says I'm reckless. I say I get results. I used to have a Tether, way back when. If I focus really hard, I can even remember his face. Green hair. Pale eyes. He had a weird penchant for plants and a tendency to wander off into the woods for hours at a time. One day he wandered off and simply didn't come back. We hadn't even had our tattoos done yet. What was I supposed to do? A single mage abandoned by her Tether and left to create my own kind of magic. So I did. A magic more powerful because I didn't have some partner holding me back. I don't need guidelines, I don't need a Tether, and I definitely don't need anyone's help.",Southern Village
,,,,,,,,,,,,,,,,,
Legacy Mage 1 (Bow),,3,,,,,,,,,,,,,,,Legacy
Legacy Mage 2 (Sword),,3,,,,,,,,,,,,,,,Legacy
Legacy Mage 3 (Ram),,3,,,,,,,,,,,,,,,Legacy
Legacy Mage 4 (Staff),,3,,,,,,,,,,,,,,,Legacy
